Phase Difference (Oscilloscope) ,Nominal Phase Difference,"Voltage Readout, Phase Detector"
169,0,1.7
173,5,1.72
180,10,1.73
-175,15,1.73
-170,20,1.72
-165,25,1.69
-160,30,1.67
-155,35,1.65
-149,40,1.62
-147,45,1.59
-141,50,1.57
-138,55,1.53
-130,60,1.49
-126,65,1.45
-121,70,1.41
-115,75,1.37
-110,80,1.32
-105,85,1.23
-100,90,0.995
-96,95,0.705
-90,100,0.426
-87,105,-0.16
-81,110,-0.44
-76,115,-0.659
-69,120,-0.704
-65,125,-0.759
-61,130,-0.801
-56,135,-0.841
-50,140,-0.878
-46,145,-0.91
-40,150,-0.943
-36,155,-0.973
-29,160,-0.999
-22,165,-1.02
-17,170,-1.05
-13,175,-1.07
-9,180,-1.1
